 ,星期? ,星期二 ,,,星期三 ,星期四 ,,星期五 
第 1 節 ,中文閱?與寫作, ,,, ,應用電腦(?) ,英文(?) , 
第 2 節 ,(?) A 班 , ,,, ,A 班 ,C 班幼保、系統、智慧 , 
第 3 節 ,中文閱?與寫作, ,,, ,應用電腦(?) ,英文(?) , 
第 4 節 ,(?) B 班 , ,,, ,B 班、C 班 ,A 班機械、車輛、室設 , 
第 5 節 , ,,英文(?) ,, , ,, 
,,,B 班 ,,,,,
第 6 節 , ,,休餐 ,, , ,, 
第 7 節 , , ,,, , ,, 
第 8 節 , , ,,, , ,, 
中文閱?與寫作(?)【A班：機械、車輛、室設、幼保；B班：休餐、系統網路、智慧科技】應用電腦(?) & 英文(?)【A 班：機械、車輛、室設；B 班：休餐；C 班：幼保、系統網路、智慧科技】 ,,,,,,,,
日四技-大二 ,,,,,,,,
 ,星期? ,,星期二 ,,星期三 ,星期四 ,星期五 ,
第 1 節 ,人工智慧概論-休餐 ,英文(三) 機械+ 車輛 ,人工智慧 ,英文(三) 資工系統+智慧 , , , ,
第 2 節 ,,,概論-幼保+ 室設 ,, , , ,
第 3 節 ,人工智慧 ,英文(三) 休餐 ,人工智慧 ,英文(三) 幼保+ 室設 , , , ,
第 4 節 ,概論-機械+ 車輛 ,,概論-資工系統+智慧 ,, , , ,
第 5 節 ,通識課程 ,, ,, , , ,
第 6 節 ,,, ,, , , ,
第 7 節 ,通識課程 ,, ,, , , ,
第 8 節 ,,, ,, , , ,
